log value type
136 0.25 20 %
303 0.707107 1 %
303 0.535887 5 %
303 0.466516 10 %
303 0.125 20 %
20 0.659754 1 %
20 0.5 5 %
20 0.466516 10 %
20 0.133972 20 %
106 0.659754 1 %
106 0.5 5 %
106 0.108819 10 %
106 0.108819 20 %
187 0.707107 1 %
187 0.5 5 %
187 0.189465 10 %
187 0.164938 20 %
169 0.812252 1 %
169 0.5 5 %
169 0.5 10 %
169 0.143587 20 %
109 0.707107 1 %
109 0.5 5 %
109 0.353553 10 %
109 0.153893 20 %
15 1 1 %
15 0.812252 5 %
15 0.757858 10 %
15 0.659754 20 %
25 1.148698 1 %
25 0.812252 5 %
25 0.659754 10 %
25 0.574349 20 %
11 0.933033 1 %
11 0.812252 5 %
11 0.659754 10 %
11 0.535887 20 %
742 1.515717 1 %
742 1.866066 5 %
742 2.143547 10 %
742 1.148698 20 %
148 8 1 %
148 6.964405 5 %
148 6.498019 10 %
148 3.24901 20 %
165 0.757858 1 %
165 2.639016 5 %
165 1.414214 10 %
165 1.231144 20 %
79 4.594793 1 %
79 4.287094 5 %
79 3.24901 10 %
79 2.143547 20 %
507 1.741101 1 %
507 1.414214 5 %
507 1.414214 10 %
507 1.414214 20 %
278 0.047366 1 %
278 1.624505 5 %
278 1.414214 10 %
278 1.414214 20 %
434 0.0625 1 %
434 2.297397 5 %
434 2.143547 10 %
434 2.143547 20 %
265 0.659754 1 %
265 1.866066 5 %
265 1.515717 10 %
265 1.414214 20 %
10 0.466516 1 %
10 0.108819 5 %
10 0.108819 10 %
10 0.108819 20 %
746 0.088388 1 %
746 0.088388 5 %
746 0.088388 10 %
746 0.088388 20 %
190 5.656854 1 %
190 1.741101 5 %
190 1.414214 10 %
190 1.071773 20 %
45 1.414214 1 %
45 0.267943 5 %
45 0.307786 10 %
45 0.466516 20 %
