type pcts
1 0.63369
2 0.06124
3 0.17604
4 0.12903
1 0.49944
2 0.08239
3 0.16553
4 0.25264
1 0.35970
2 0.10824
3 0.24254
4 0.28952
1 0.55420
2 0.05379
3 0.10188
4 0.29013
1 0.12756
2 0.67562
3 0.01099
4 0.18583
1 0.73107
2 0.04610
3 0.10085
4 0.12198
1 0.22343
2 0.12874
3 0.52838
4 0.11945
1 0.95447
2 0.01129
3 0.00819
4 0.02605
1 0.54284
2 0.07134
3 0.24932
4 0.13650
1 0.35592
2 0.53542
3 0.09299
4 0.01567
1 0.99280
2 0.00354
3 0.00298
4 0.00068
1 0.78258
2 0.00226
3 0.00222
4 0.21294
1 0.71950
2 0.00539
3 0.25627
4 0.01883
1 0.67052
2 0.16515
3 0.09920
4 0.06512
1 0.42985
2 0.01938
3 0.00342
4 0.54735
1 0.74504
2 0.06016
3 0.11274
4 0.08207
1 0.82542
2 0.02909
3 0.11968
4 0.02581
1 0.61769
2 0.26204
3 0.08629
4 0.03398
1 0.83301
2 0.05519
3 0.01115
4 0.10065
1 0.90544
2 0.02719
3 0.00614
4 0.06122
1 0.49663
2 0.03680
3 0.06883
4 0.39775
1 0.56467
2 0.16204
3 0.09422
4 0.17907
1 0.93637
2 0.01972
3 0.00430
4 0.03961
1 0.69411
2 0.05253
3 0.14130
4 0.11206
1 0.56477
2 0.15735
3 0.00184
4 0.27604
1 0.69661
2 0.07770
3 0.09603
4 0.12966
1 0.84011
2 0.04649
3 0.06414
4 0.04926
1 0.16713
2 0.00030
3 0.03100
4 0.80158
1 0.45824
2 0.07726
3 0.30104
4 0.16347
1 0.21660
2 0.01620
3 0.01105
4 0.75614
1 0.92026
2 0.02498
3 0.01728
4 0.03748
1 0.99953
2 0.00032
1 0.59574
2 0.06344
3 0.17440
4 0.16641
1 0.85540
2 0.05616
3 0.04194
4 0.04651
1 0.42635
2 0.15453
3 0.37770
4 0.04142
1 0.54888
2 0.28323
3 0.10283
4 0.06506
1 0.63190
2 0.06934
3 0.19136
4 0.10741
1 0.63232
2 0.02128
3 0.03552
4 0.31087
1 0.98678
2 0.00351
3 0.00543
4 0.00428
1 0.35236
2 0.00454
3 0.29800
4 0.34510
1 0.52095
2 0.05042
3 0.05089
4 0.37774
1 0.38797
2 0.08973
3 0.46863
4 0.05367
1 0.41641
2 0.01539
3 0.05234
4 0.51586
1 0.63931
2 0.08558
3 0.13979
4 0.13532
1 0.40938
2 0.00894
3 0.00149
4 0.58018
1 0.91063
2 0.01744
3 0.04358
4 0.02835
1 0.54593
2 0.07748
3 0.03739
4 0.33920
1 0.98257
2 0.00702
3 0.00112
4 0.00929
1 0.13818
2 0.35902
3 0.15361
4 0.34919
1 0.63846
2 0.25298
3 0.07676
4 0.03180
1 0.69476
2 0.02107
3 0.01470
4 0.26947
1 0.63614
2 0.09459
3 0.02878
4 0.24049
1 0.50856
2 0.07058
3 0.19864
4 0.22222
1 0.42786
2 0.01333
3 0.00180
4 0.55701
1 0.53549
2 0.04382
3 0.30631
4 0.11438
1 0.18752
2 0.30299
3 0.42734
4 0.08216
1 0.87191
2 0.02878
3 0.02246
4 0.07685
1 0.51734
2 0.29700
3 0.11575
4 0.06992
1 0.90834
2 0.01770
3 0.05443
4 0.01953
1 0.48848
2 0.00938
3 0.46570
4 0.03645
1 0.37624
2 0.00700
3 0.08711
4 0.52965
1 0.43280
2 0.17301
3 0.14071
4 0.25348
1 0.62966
2 0.05475
3 0.02690
4 0.28869
1 0.78733
2 0.02433
3 0.03592
4 0.15241
1 0.63374
2 0.00910
3 0.00121
4 0.35595
1 0.34259
2 0.01849
3 0.05110
4 0.58782
1 0.50032
2 0.24835
3 0.16841
4 0.08292
1 0.35444
2 0.00794
3 0.00265
4 0.63497
1 0.36027
2 0.61611
3 0.00554
4 0.01808
1 0.58355
2 0.19510
3 0.05781
4 0.16354
1 0.91248
2 0.02425
3 0.05153
4 0.01174
1 0.51085
2 0.15213
3 0.21851
4 0.11851
1 0.59988
2 0.05087
3 0.05370
4 0.29556
1 0.41015
2 0.07857
3 0.28704
4 0.22424
1 0.49896
2 0.12422
3 0.09000
4 0.28682
1 0.75128
2 0.04853
3 0.09323
4 0.10696
1 0.48542
2 0.00590
3 0.44626
4 0.06242
1 0.46689
2 0.11747
3 0.13707
4 0.27857
1 0.91079
2 0.01700
3 0.05646
4 0.01574
1 0.38802
2 0.00497
3 0.51926
4 0.08776
1 0.42838
2 0.09489
3 0.30399
4 0.17274
1 0.73151
2 0.00320
3 0.17910
4 0.08619
1 0.66478
