log type pct
145 p6 0
145 p7 0
59 p1 0.153199
59 p2 0.713378
59 p3 0.123061
59 p4 0.00997957
59 p5 0.00038228
59 p6 0
59 p7 0
248 p1 0.157505
248 p2 0.739353
248 p3 0.0863792
248 p4 0.0167633
248 p5 0
248 p6 0
248 p7 0
18 p1 0.162615
18 p2 0.714398
18 p3 0.104528
18 p4 0.0184597
18 p5 0
18 p6 0
18 p7 0
28 p1 0.188589
28 p2 0.722567
28 p3 0.0715733
28 p4 0.017271
28 p5 0
28 p6 0
28 p7 0
103 p1 0.158985
103 p2 0.699005
103 p3 0.120353
103 p4 0.0216145
103 p5 4.25885e-05
103 p6 0
103 p7 0
16 p1 0.153946
16 p2 0.728578
16 p3 0.103228
16 p4 0.0138615
16 p5 0.000386546
16 p6 0
16 p7 0
27 p1 0.1878
27 p2 0.714258
27 p3 0.0268606
27 p4 0.0710812
27 p5 0
27 p6 0
27 p7 0
201 p1 0.168186
201 p2 0.66946
201 p3 0.149961
201 p4 0.0123927
201 p5 0
201 p6 0
201 p7 0
111 p1 0.161312
111 p2 0.681178
111 p3 0.135606
111 p4 0.0219041
111 p5 0
111 p6 0
111 p7 0
61 p1 0.126796
61 p2 0.791048
61 p3 0.0712543
61 p4 0.0109009
61 p5 0
61 p6 0
61 p7 0
13 p1 0.155975
13 p2 0.677904
13 p3 0.157915
13 p4 0.0082058
13 p5 0
13 p6 0
13 p7 0
43 p1 0.203234
43 p2 0.678402
43 p3 0.0978998
43 p4 0.020464
43 p5 0
43 p6 0
43 p7 0
213 p1 0.195878
213 p2 0.624924
213 p3 0.166582
213 p4 0.012617
213 p5 0
213 p6 0
213 p7 0
116 p1 0.176621
116 p2 0.694315
116 p3 0.12043
116 p4 0.00863411
116 p5 0
116 p6 0
116 p7 0
130 p1 0.187681
130 p2 0.585163
130 p3 0.212715
130 p4 0.01444
130 p5 0
130 p6 0
130 p7 0
94 p1 0.17857
94 p2 0.637052
94 p3 0.168045
94 p4 0.016333
94 p5 0
94 p6 0
94 p7 0
36 p1 0.15891
36 p2 0.680106
36 p3 0.146274
36 p4 0.01471
36 p5 0
36 p6 0
36 p7 0
67 p1 0.15692
67 p2 0.679083
67 p3 0.157319
67 p4 0.00609737
67 p5 0.000580181
67 p6 0
67 p7 0
200 p1 0.156234
200 p2 0.655688
200 p3 0.170178
200 p4 0.0178995
200 p5 0
200 p6 0
200 p7 0
47 p1 0.207849
47 p2 0.598646
47 p3 0.190667
47 p4 0.00283868
47 p5 0
47 p6 0
47 p7 0
39 p1 0.172077
39 p2 0.676233
39 p3 0.123014
39 p4 0.0286762
39 p5 0
39 p6 0
39 p7 0
35 p1 0.148858
35 p2 0.719474
35 p3 0.0971731
35 p4 0.0342795
35 p5 0.000214836
35 p6 0
35 p7 0
22 p1 0.167052
22 p2 0.731306
22 p3 0.0885834
22 p4 0.0130586
22 p5 0
22 p6 0
22 p7 0
254 p1 0.171666
254 p2 0.704174
254 p3 0.117531
254 p4 0.00662936
254 p5 0
254 p6 0
254 p7 0
166 p1 0.149748
166 p2 0.692936
166 p3 0.151111
166 p4 0.00528381
166 p5 0.000921252
166 p6 0
166 p7 0
74 p1 0.163517
74 p2 0.733176
74 p3 0.0989537
74 p4 0.00397596
74 p5 0.000377594
74 p6 0
74 p7 0
136 p1 0.172597
136 p2 0.708777
136 p3 0.114817
136 p4 0.00380836
136 p5 0
136 p6 0
136 p7 0
303 p1 0.152163
303 p2 0.719384
303 p3 0.121817
303 p4 0.00628982
303 p5 0.000346838
303 p6 0
303 p7 0
20 p1 0.147919
20 p2 0.628523
20 p3 0.21201
20 p4 0.0110875
20 p5 0.000460966
20 p6 0
20 p7 0
106 p1 0.179188
106 p2 0.712256
106 p3 0.102907
106 p4 0.00564955
106 p5 0
106 p6 0
106 p7 0
187 p1 0.176386
187 p2 0.727445
187 p3 0.0885887
187 p4 0.00757987
187 p5 0
187 p6 0
187 p7 0
169 p1 0.151824
169 p2 0.710676
169 p3 0.12213
169 p4 0.0148666
169 p5 0.00050249
169 p6 0
169 p7 0
109 p1 0.155934
109 p2 0.734096
109 p3 0.0870694
109 p4 0.0229007
109 p5 0
109 p6 0
109 p7 0
15 p1 0.361038
15 p2 0.480074
15 p3 0.125167
15 p4 0.033721
15 p5 0
15 p6 0
15 p7 0
25 p1 0.3496
25 p2 0.514508
25 p3 0.091476
25 p4 0.0444154
25 p5 0
25 p6 0
25 p7 0
11 p1 0.335926
11 p2 0.501811
11 p3 0.128296
11 p4 0.0339671
11 p5 0
11 p6 0
11 p7 0
742 p1 0.707284
742 p2 0.143681
742 p3 0.0454493
742 p4 0.103583
742 p5 2.76663e-06
742 p6 0
742 p7 0
148 p1 0.721872
148 p2 0.0695664
148 p3 0.117756
148 p4 0.0816122
148 p5 0.00919272
148 p6 0
148 p7 0
165 p1 0.697726
165 p2 0.121123
165 p3 0.152477
165 p4 0.0286742
165 p5 0
165 p6 0
165 p7 0
79 p1 0.736265
79 p2 0.0711371
79 p3 0.126897
79 p4 0.0657002
79 p5 0
79 p6 0
79 p7 0
507 p1 0.853408
507 p2 0.0018432
507 p3 0.144749
507 p4 0
507 p5 0
507 p6 0
507 p7 0
